ID;Название трека;ID альбома;ID жанра;Длительность;Размер;Стоимость;исполнитель
1;For Those About To Rock (We Salute You);1;1;343719;11170334;101,00;1
2;Balls to the Wall;2;1;342562;5510424;161,00;2
3;Fast As a Shark;3;1;230619;3990994;96,00;2
4;Restless and Wild;3;1;252051;4331779;133,00;2
5;Princess of the Dawn;3;1;375418;6290521;172,00;2
6;Put The Finger On You;1;1;205662;6713451;136,00;1
7;Let's Get It Up;1;1;233926;7636561;58,00;1
8;Inject The Venom;1;1;210834;6852860;169,00;1
9;Snowballed;1;1;203102;6599424;89,00;1
10;Evil Walks;1;1;263497;8611245;122,00;1
11;C.O.D.;1;1;199836;6566314;160,00;1
12;Breaking The Rules;1;1;263288;8596840;161,00;1
13;Night Of The Long Knives;1;1;205688;6706347;76,00;1
14;Spellbound;1;1;270863;8817038;83,00;1
15;Go Down;4;1;331180;10847611;184,00;1
16;Dog Eat Dog;4;1;215196;7032162;88,00;1
17;Let There Be Rock;4;1;366654;12021261;61,00;1
18;Bad Boy Boogie;4;1;267728;8776140;139,00;1
19;Problem Child;4;1;325041;10617116;100,00;1
20;Overdose;4;1;369319;12066294;50,00;1
21;Hell Ain't A Bad Place To Be;4;1;254380;8331286;141,00;1
22;Whole Lotta Rosie;4;1;323761;10547154;186,00;1
23;Walk On Water;5;1;295680;9719579;160,00;3
24;Love In An Elevator;5;1;321828;10552051;200,00;3
25;Rag Doll;5;1;264698;8675345;123,00;3
26;What It Takes;5;1;310622;10144730;65,00;3
27;Dude (Looks Like A Lady);5;1;264855;8679940;176,00;3
28;Janie's Got A Gun;5;1;330736;10869391;136,00;3
29;Cryin';5;1;309263;10056995;128,00;3
30;Amazing;5;1;356519;11616195;69,00;3
31;Blind Man;5;1;240718;7877453;148,00;3
32;Deuces Are Wild;5;1;215875;7074167;104,00;3
33;The Other Side;5;1;244375;7983270;148,00;3
34;Crazy;5;1;316656;10402398;64,00;3
35;Eat The Rich;5;1;251036;8262039;166,00;3
36;Angel;5;1;307617;9989331;194,00;3
37;Livin' On The Edge;5;1;381231;12374569;98,00;3
38;All I Really Want;6;1;284891;9375567;164,00;4
39;You Oughta Know;6;1;249234;8196916;129,00;4
40;Perfect;6;1;188133;6145404;74,00;4
41;Hand In My Pocket;6;1;221570;7224246;148,00;4
42;Right Through You;6;1;176117;5793082;182,00;4
43;Forgiven;6;1;300355;9753256;179,00;4
44;You Learn;6;1;239699;7824837;195,00;4
45;Head Over Feet;6;1;267493;8758008;175,00;4
46;Mary Jane;6;1;280607;9163588;83,00;4
47;Ironic;6;1;229825;7598866;96,00;4
48;Not The Doctor;6;1;227631;7604601;178,00;4
49;Wake Up;6;1;293485;9703359;125,00;4
50;You Oughta Know (Alternate);6;1;491885;16008629;197,00;4
51;We Die Young;7;1;152084;4925362;153,00;5
52;Man In The Box;7;1;286641;9310272;170,00;5
53;Sea Of Sorrow;7;1;349831;11316328;73,00;5
54;Bleed The Freak;7;1;241946;7847716;116,00;5
55;I Can't Remember;7;1;222955;7302550;158,00;5
56;Love, Hate, Love;7;1;387134;12575396;160,00;5
57;It Ain't Like That;7;1;277577;8993793;95,00;5
58;Sunshine;7;1;284969;9216057;150,00;5
59;Put You Down;7;1;196231;6420530;169,00;5
60;Confusion;7;1;344163;11183647;116,00;5
61;I Know Somethin (Bout You);7;1;261955;8497788;183,00;5
62;Real Thing;7;1;243879;7937731;144,00;5
63;Desafinado;8;2;185338;5990473;124,00;6
64;Garota De Ipanema;8;2;285048;9348428;74,00;6
65;Samba De Uma Nota SГі (One Note Samba);8;2;137273;4535401;149,00;6
66;Por Causa De VocГЄ;8;2;169900;5536496;195,00;6
67;Ligia;8;2;251977;8226934;75,00;6
68;Fotografia;8;2;129227;4198774;180,00;6
69;Dindi (Dindi);8;2;253178;8149148;157,00;6
70;Se Todos Fossem Iguais A VocГЄ (Instrumental);8;2;134948;4393377;80,00;6
71;Falando De Amor;8;2;219663;7121735;110,00;6
72;Angela;8;2;169508;5574957;119,00;6
73;Corcovado (Quiet Nights Of Quiet Stars);8;2;205662;6687994;165,00;6
74;Outra Vez;8;2;126511;4110053;75,00;6
75;O Boto (BГґto);8;2;366837;12089673;74,00;6
76;Canta, Canta Mais;8;2;271856;8719426;108,00;6
77;Enter Sandman;9;3;221701;7286305;192,00;7
78;Master Of Puppets;9;3;436453;14375310;163,00;7
79;Harvester Of Sorrow;9;3;374543;12372536;142,00;7
80;The Unforgiven;9;3;322925;10422447;94,00;7
81;Sad But True;9;3;288208;9405526;142,00;7
82;Creeping Death;9;3;308035;10110980;56,00;7
83;Wherever I May Roam;9;3;369345;12033110;188,00;7
84;Welcome Home (Sanitarium);9;3;350197;11406431;186,00;7
85;Cochise;10;1;222380;5339931;102,00;8
86;Show Me How to Live;10;1;277890;6672176;163,00;8
87;Gasoline;10;1;279457;6709793;107,00;8
88;What You Are;10;1;249391;5988186;188,00;8
89;Like a Stone;10;1;294034;7059624;144,00;8
90;Set It Off;10;1;263262;6321091;198,00;8
91;Shadow on the Sun;10;1;343457;8245793;124,00;8
92;I am the Highway;10;1;334942;8041411;112,00;8
93;Exploder;10;1;206053;4948095;178,00;8
94;Hypnotize;10;1;206628;4961887;152,00;8
95;Bring'em Back Alive;10;1;329534;7911634;88,00;8
96;Light My Way;10;1;303595;7289084;127,00;8
97;Getaway Car;10;1;299598;7193162;186,00;8
98;The Last Remaining Light;10;1;317492;7622615;79,00;8
99;Your Time Has Come;11;4;255529;8273592;50,00;8
100;Out Of Exile;11;4;291291;9506571;141,00;8
101;Be Yourself;11;4;279484;9106160;54,00;8
102;Doesn't Remind Me;11;4;255869;8357387;178,00;8
103;Drown Me Slowly;11;4;233691;7609178;98,00;8
104;Heaven's Dead;11;4;276688;9006158;129,00;8
105;The Worm;11;4;237714;7710800;167,00;8
106;Man Or Animal;11;4;233195;7542942;79,00;8
107;Yesterday To Tomorrow;11;4;273763;8944205;56,00;8
108;Dandelion;11;4;278125;9003592;52,00;8
109;#1 Zero;11;4;299102;9731988;64,00;8
110;The Curse;11;4;309786;10029406;74,00;8
111;Money;12;5;147591;2365897;95,00;9
112;Long Tall Sally;12;5;106396;1707084;61,00;9
113;Bad Boy;12;5;116088;1862126;75,00;9
114;Twist And Shout;12;5;161123;2582553;94,00;9
115;Please Mr. Postman;12;5;137639;2206986;136,00;9
116;C'Mon Everybody;12;5;140199;2247846;73,00;9
117;Rock 'N' Roll Music;12;5;141923;2276788;157,00;9
118;Slow Down;12;5;163265;2616981;102,00;9
119;Roadrunner;12;5;143595;2301989;80,00;9
120;Carol;12;5;143830;2306019;90,00;9
121;Good Golly Miss Molly;12;5;106266;1704918;150,00;9
122;20 Flight Rock;12;5;107807;1299960;117,00;9
123;Quadrant;13;2;261851;8538199;108,00;10
124;Snoopy's search-Red baron;13;2;456071;15075616;113,00;10
125;"Spanish moss-""A sound portrait""-Spanish moss";13;2;248084;8217867;184,00;10
126;Moon germs;13;2;294060;9714812;117,00;10
127;Stratus;13;2;582086;19115680;123,00;10
128;The pleasant pheasant;13;2;318066;10630578;115,00;10
129;Solo-Panhandler;13;2;246151;8230661;64,00;10
130;Do what cha wanna;13;2;274155;9018565;163,00;10
131;Intro/ Low Down;14;3;323683;10642901;156,00;11
132;13 Years Of Grief;14;3;246987;8137421;66,00;11
133;Stronger Than Death;14;3;300747;9869647;126,00;11
134;All For You;14;3;235833;7726948;117,00;11
135;Super Terrorizer;14;3;319373;10513905;70,00;11
136;Phoney Smile Fake Hellos;14;3;273606;9011701;64,00;11
137;Lost My Better Half;14;3;284081;9355309;137,00;11
138;Bored To Tears;14;3;247327;8130090;51,00;11
139;A.N.D.R.O.T.A.Z.;14;3;266266;8574746;190,00;11
140;Born To Booze;14;3;282122;9257358;166,00;11
141;World Of Trouble;14;3;359157;11820932;114,00;11
142;No More Tears;14;3;555075;18041629;88,00;11
143;The Begining... At Last;14;3;365662;11965109;125,00;11
144;Heart Of Gold;15;3;194873;6417460;111,00;11
145;Snowblind;15;3;420022;13842549;127,00;11
146;Like A Bird;15;3;276532;9115657;181,00;11
147;Blood In The Wall;15;3;284368;9359475;171,00;11
148;The Beginning...At Last;15;3;271960;8975814;163,00;11
149;Black Sabbath;16;3;382066;12440200;125,00;12
150;The Wizard;16;3;264829;8646737;123,00;12
151;Behind The Wall Of Sleep;16;3;217573;7169049;122,00;12
152;N.I.B.;16;3;368770;12029390;183,00;12
153;Evil Woman;16;3;204930;6655170;154,00;12
154;Sleeping Village;16;3;644571;21128525;54,00;12
155;Warning;16;3;212062;6893363;103,00;12
156;Wheels Of Confusion / The Straightener;17;3;494524;16065830;51,00;12
157;Tomorrow's Dream;17;3;192496;6252071;135,00;12
158;Changes;17;3;286275;9175517;129,00;12
159;FX;17;3;103157;3331776;85,00;12
160;Supernaut;17;3;285779;9245971;164,00;12
161;Snowblind;17;3;331676;10813386;169,00;12
162;Cornucopia;17;3;234814;7653880;96,00;12
163;Laguna Sunrise;17;3;173087;5671374;133,00;12
164;St. Vitus Dance;17;3;149655;4884969;78,00;12
165;Under The Sun/Every Day Comes and Goes;17;3;350458;11360486;137,00;12
166;Smoked Pork;18;4;47333;1549074;121,00;13
167;Body Count's In The House;18;4;204251;6715413;112,00;13
168;Now Sports;18;4;4884;161266;95,00;13
169;Body Count;18;4;317936;10489139;111,00;13
170;A Statistic;18;4;6373;211997;118,00;13
171;Bowels Of The Devil;18;4;223216;7324125;95,00;13
172;The Real Problem;18;4;11650;387360;128,00;13
173;KKK Bitch;18;4;173008;5709631;98,00;13
174;D Note;18;4;95738;3067064;123,00;13
175;Voodoo;18;4;300721;9875962;145,00;13
176;The Winner Loses;18;4;392254;12843821;176,00;13
177;There Goes The Neighborhood;18;4;350171;11443471;155,00;13
178;Oprah;18;4;6635;224313;194,00;13
179;Evil Dick;18;4;239020;7828873;178,00;13
180;Body Count Anthem;18;4;166426;5463690;110,00;13
181;Momma's Gotta Die Tonight;18;4;371539;12122946;197,00;13
182;Freedom Of Speech;18;4;281234;9337917;54,00;13
183;King In Crimson;19;3;283167;9218499;133,00;14
184;Chemical Wedding;19;3;246177;8022764;87,00;14
185;The Tower;19;3;285257;9435693;51,00;14
186;Killing Floor;19;3;269557;8854240;185,00;14
187;Book Of Thel;19;3;494393;16034404;124,00;14
188;Gates Of Urizen;19;3;265351;8627004;69,00;14
189;Jerusalem;19;3;402390;13194463;153,00;14
190;Trupets Of Jericho;19;3;359131;11820908;118,00;14
191;Machine Men;19;3;341655;11138147;64,00;14
192;The Alchemist;19;3;509413;16545657;96,00;14
193;Realword;19;3;237531;7802095;79,00;14
194;First Time I Met The Blues;20;6;140434;4604995;77,00;15
195;Let Me Love You Baby;20;6;175386;5716994;81,00;15
196;Stone Crazy;20;6;433397;14184984;100,00;15
197;Pretty Baby;20;6;237662;7848282;65,00;15
198;When My Left Eye Jumps;20;6;235311;7685363;100,00;15
199;Leave My Girl Alone;20;6;204721;6859518;147,00;15
200;She Suits Me To A Tee;20;6;136803;4456321;148,00;15
201;Keep It To Myself (Aka Keep It To Yourself);20;6;166060;5487056;151,00;15
202;My Time After Awhile;20;6;182491;6022698;86,00;15
203;Too Many Ways (Alternate);20;6;135053;4459946;139,00;15
204;Talkin' 'Bout Women Obviously;20;6;589531;19161377;95,00;15
205;Jorge Da CapadГіcia;21;7;177397;5842196;172,00;16
206;Prenda Minha;21;7;99369;3225364;109,00;16
207;MeditaГ§ГЈo;21;7;148793;4865597;98,00;16
208;Terra;21;7;482429;15889054;116,00;16
209;Eclipse Oculto;21;7;221936;7382703;106,00;16
210;"Texto ""Verdade Tropical""";21;7;84088;2752161;161,00;16
211;Bem Devagar;21;7;133172;4333651;196,00;16
212;DrГЈo;21;7;156264;5065932;107,00;16
213;Saudosismo;21;7;144326;4726981;158,00;16
214;Carolina;21;7;181812;5924159;166,00;16
215;Sozinho;21;7;190589;6253200;200,00;16
216;Esse Cara;21;7;223111;7217126;182,00;16
217;Mel;21;7;294765;9854062;140,00;16
218;Linha Do Equador;21;7;299337;10003747;195,00;16
219;Odara;21;7;141270;4704104;93,00;16
220;A Luz De Tieta;21;7;251742;8507446;104,00;16
221;AtrГЎs Da Verd-E-Rosa SГі NГЈo Vai Quem JГЎ Morreu;21;7;307252;10364247;148,00;16
222;Vida Boa;21;7;281730;9411272;136,00;16
223;Sozinho (Hitmakers Classic Mix);22;7;436636;14462072;77,00;16
224;Sozinho (Hitmakers Classic Radio Edit);22;7;195004;6455134;68,00;16
225;Sozinho (CaГЄdrum 'n' Bass);22;7;328071;10975007;155,00;16
226;Carolina;23;7;163056;5375395;114,00;17
227;Essa MoГ§a Ta Diferente;23;7;167235;5568574;113,00;17
228;Vai Passar;23;7;369763;12359161;165,00;17
229;Samba De Orly;23;7;162429;5431854;69,00;17
230;Bye, Bye Brasil;23;7;283402;9499590;149,00;17
231;Atras Da Porta;23;7;189675;6132843;108,00;17
232;Tatuagem;23;7;172120;5645703;183,00;17
