ID,Название трека,ID альбома,ID жанра,Длительность,Размер,Стоимость,исполнитель
1,For Those About To Rock (We Salute You),1,1,343719,11170334,"101,00",AC/DC
2,Balls to the Wall,2,1,342562,5510424,"161,00",Accept
3,Fast As a Shark,3,1,230619,3990994,"96,00",Accept
4,Restless and Wild,3,1,252051,4331779,"133,00",Accept
5,Princess of the Dawn,3,1,375418,6290521,"172,00",Accept
6,Put The Finger On You,1,1,205662,6713451,"136,00",AC/DC
7,Let's Get It Up,1,1,233926,7636561,"58,00",AC/DC
8,Inject The Venom,1,1,210834,6852860,"169,00",AC/DC
9,Snowballed,1,1,203102,6599424,"89,00",AC/DC
10,Evil Walks,1,1,263497,8611245,"122,00",AC/DC
11,C.O.D.,1,1,199836,6566314,"160,00",AC/DC
12,Breaking The Rules,1,1,263288,8596840,"161,00",AC/DC
13,Night Of The Long Knives,1,1,205688,6706347,"76,00",AC/DC
14,Spellbound,1,1,270863,8817038,"83,00",AC/DC
15,Go Down,4,1,331180,10847611,"184,00",AC/DC
16,Dog Eat Dog,4,1,215196,7032162,"88,00",AC/DC
17,Let There Be Rock,4,1,366654,12021261,"61,00",AC/DC
18,Bad Boy Boogie,4,1,267728,8776140,"139,00",AC/DC
19,Problem Child,4,1,325041,10617116,"100,00",AC/DC
20,Overdose,4,1,369319,12066294,"50,00",AC/DC
21,Hell Ain't A Bad Place To Be,4,1,254380,8331286,"141,00",AC/DC
22,Whole Lotta Rosie,4,1,323761,10547154,"186,00",AC/DC
23,Walk On Water,5,1,295680,9719579,"160,00",Aerosmith
24,Love In An Elevator,5,1,321828,10552051,"200,00",Aerosmith
25,Rag Doll,5,1,264698,8675345,"123,00",Aerosmith
26,What It Takes,5,1,310622,10144730,"65,00",Aerosmith
27,Dude (Looks Like A Lady),5,1,264855,8679940,"176,00",Aerosmith
28,Janie's Got A Gun,5,1,330736,10869391,"136,00",Aerosmith
29,Cryin',5,1,309263,10056995,"128,00",Aerosmith
30,Amazing,5,1,356519,11616195,"69,00",Aerosmith
31,Blind Man,5,1,240718,7877453,"148,00",Aerosmith
32,Deuces Are Wild,5,1,215875,7074167,"104,00",Aerosmith
33,The Other Side,5,1,244375,7983270,"148,00",Aerosmith
34,Crazy,5,1,316656,10402398,"64,00",Aerosmith
35,Eat The Rich,5,1,251036,8262039,"166,00",Aerosmith
36,Angel,5,1,307617,9989331,"194,00",Aerosmith
37,Livin' On The Edge,5,1,381231,12374569,"98,00",Aerosmith
38,All I Really Want,6,1,284891,9375567,"164,00",Alanis Morissette
39,You Oughta Know,6,1,249234,8196916,"129,00",Alanis Morissette
40,Perfect,6,1,188133,6145404,"74,00",Alanis Morissette
41,Hand In My Pocket,6,1,221570,7224246,"148,00",Alanis Morissette
42,Right Through You,6,1,176117,5793082,"182,00",Alanis Morissette
43,Forgiven,6,1,300355,9753256,"179,00",Alanis Morissette
44,You Learn,6,1,239699,7824837,"195,00",Alanis Morissette
45,Head Over Feet,6,1,267493,8758008,"175,00",Alanis Morissette
46,Mary Jane,6,1,280607,9163588,"83,00",Alanis Morissette
47,Ironic,6,1,229825,7598866,"96,00",Alanis Morissette
48,Not The Doctor,6,1,227631,7604601,"178,00",Alanis Morissette
49,Wake Up,6,1,293485,9703359,"125,00",Alanis Morissette
50,You Oughta Know (Alternate),6,1,491885,16008629,"197,00",Alanis Morissette
51,We Die Young,7,1,152084,4925362,"153,00",Alice In Chains
